trial_name,epoch,accuracy,loss,val_accuracy,val_loss
"LR=0.001, Opt=RMSProp, Epochs=50",45,0.9682,0.0919,0.7415,1.1828
"LR=0.001, Opt=RMSProp, Epochs=50",46,0.9749,0.0776,0.7420,1.3059
"LR=0.001, Opt=RMSProp, Epochs=50",47,0.9759,0.0780,0.7425,1.4545
"LR=0.001, Opt=RMSProp, Epochs=50",48,0.9744,0.0784,0.7340,1.3869
"LR=0.001, Opt=RMSProp, Epochs=50",49,0.9783,0.0733,0.7520,1.3050
"LR=0.001, Opt=RMSProp, Epochs=50",50,0.9775,0.0687,0.7505,1.2586
"LR=0.0001, Opt=Adam, Epochs=50",1,0.5921,0.6706,0.5950,0.6398
"LR=0.0001, Opt=Adam, Epochs=50",2,0.6890,0.5751,0.7435,0.5154
"LR=0.0001, Opt=Adam, Epochs=50",3,0.7505,0.5253,0.7615,0.4952
"LR=0.0001, Opt=Adam, Epochs=50",4,0.7558,0.5143,0.7705,0.4860
"LR=0.0001, Opt=Adam, Epochs=50",5,0.7630,0.5058,0.7790,0.4879
"LR=0.0001, Opt=Adam, Epochs=50",6,0.7644,0.5002,0.7705,0.4851
"LR=0.0001, Opt=Adam, Epochs=50",7,0.7639,0.5018,0.7810,0.4893
"LR=0.0001, Opt=Adam, Epochs=50",8,0.7694,0.4947,0.7420,0.5149
"LR=0.0001, Opt=Adam, Epochs=50",9,0.7699,0.4987,0.7745,0.4774
"LR=0.0001, Opt=Adam, Epochs=50",10,0.7719,0.4920,0.7725,0.4796
"LR=0.0001, Opt=Adam, Epochs=50",11,0.7694,0.4867,0.7750,0.4839
"LR=0.0001, Opt=Adam, Epochs=50",12,0.7616,0.4971,0.7780,0.4709
"LR=0.0001, Opt=Adam, Epochs=50",13,0.7717,0.4799,0.7720,0.4847
"LR=0.0001, Opt=Adam, Epochs=50",14,0.7742,0.4819,0.7655,0.4837
"LR=0.0001, Opt=Adam, Epochs=50",15,0.7781,0.4768,0.7625,0.4940
"LR=0.0001, Opt=Adam, Epochs=50",16,0.7815,0.4748,0.7845,0.4768
"LR=0.0001, Opt=Adam, Epochs=50",17,0.7820,0.4705,0.7755,0.4759
"LR=0.0001, Opt=Adam, Epochs=50",18,0.7846,0.4633,0.7710,0.4855
"LR=0.0001, Opt=Adam, Epochs=50",19,0.7872,0.4632,0.7820,0.4624
"LR=0.0001, Opt=Adam, Epochs=50",20,0.7921,0.4560,0.7880,0.4641
"LR=0.0001, Opt=Adam, Epochs=50",21,0.7921,0.4549,0.7925,0.4569
"LR=0.0001, Opt=Adam, Epochs=50",22,0.7981,0.4467,0.7930,0.4592
"LR=0.0001, Opt=Adam, Epochs=50",23,0.7986,0.4436,0.7760,0.4843
"LR=0.0001, Opt=Adam, Epochs=50",24,0.7996,0.4447,0.7915,0.4555
"LR=0.0001, Opt=Adam, Epochs=50",25,0.8025,0.4355,0.7980,0.4454
"LR=0.0001, Opt=Adam, Epochs=50",26,0.8016,0.4393,0.7870,0.4594
"LR=0.0001, Opt=Adam, Epochs=50",27,0.8081,0.4275,0.7930,0.4490
"LR=0.0001, Opt=Adam, Epochs=50",28,0.8140,0.4222,0.7715,0.4763
"LR=0.0001, Opt=Adam, Epochs=50",29,0.8160,0.4157,0.7935,0.4481
"LR=0.0001, Opt=Adam, Epochs=50",30,0.8207,0.4100,0.8020,0.4529
"LR=0.0001, Opt=Adam, Epochs=50",31,0.8214,0.4089,0.7800,0.4572
"LR=0.0001, Opt=Adam, Epochs=50",32,0.8303,0.3943,0.7770,0.4769
"LR=0.0001, Opt=Adam, Epochs=50",33,0.8390,0.3819,0.7980,0.4418
"LR=0.0001, Opt=Adam, Epochs=50",34,0.8382,0.3777,0.7925,0.4624
"LR=0.0001, Opt=Adam, Epochs=50",35,0.8382,0.3769,0.7870,0.4619
"LR=0.0001, Opt=Adam, Epochs=50",36,0.8508,0.3587,0.7885,0.4671
"LR=0.0001, Opt=Adam, Epochs=50",37,0.8561,0.3530,0.7950,0.4727
"LR=0.0001, Opt=Adam, Epochs=50",38,0.8645,0.3362,0.7935,0.4551
"LR=0.0001, Opt=Adam, Epochs=50",39,0.8701,0.3199,0.7865,0.4696
"LR=0.0001, Opt=Adam, Epochs=50",40,0.8831,0.2962,0.7625,0.5395
"LR=0.0001, Opt=Adam, Epochs=50",41,0.8876,0.2898,0.7950,0.5050
"LR=0.0001, Opt=Adam, Epochs=50",42,0.9025,0.2626,0.7850,0.5393
"LR=0.0001, Opt=Adam, Epochs=50",43,0.9131,0.2365,0.7500,0.5658
"LR=0.0001, Opt=Adam, Epochs=50",44,0.9225,0.2116,0.7940,0.5793
"LR=0.0001, Opt=Adam, Epochs=50",45,0.9285,0.1992,0.7655,0.6146
"LR=0.0001, Opt=Adam, Epochs=50",46,0.9473,0.1597,0.7520,0.7208
"LR=0.0001, Opt=Adam, Epochs=50",47,0.9321,0.1814,0.7705,0.5844
"LR=0.0001, Opt=Adam, Epochs=50",48,0.9444,0.1624,0.7720,0.7338
"LR=0.0001, Opt=Adam, Epochs=50",49,0.9649,0.1168,0.7745,0.7659
"LR=0.0001, Opt=Adam, Epochs=50",50,0.9601,0.1201,0.7760,0.7817
"LR=0.0001, Opt=RMSProp, Epochs=50",1,0.5915,0.6811,0.5950,0.6699
"LR=0.0001, Opt=RMSProp, Epochs=50",2,0.5949,0.6682,0.5950,0.6751
"LR=0.0001, Opt=RMSProp, Epochs=50",3,0.6065,0.6431,0.6920,0.5946
"LR=0.0001, Opt=RMSProp, Epochs=50",4,0.7220,0.5658,0.7400,0.5573
"LR=0.0001, Opt=RMSProp, Epochs=50",5,0.7401,0.5442,0.7505,0.5229
"LR=0.0001, Opt=RMSProp, Epochs=50",6,0.7469,0.5355,0.7635,0.5122
"LR=0.0001, Opt=RMSProp, Epochs=50",7,0.7483,0.5295,0.7750,0.4999
"LR=0.0001, Opt=RMSProp, Epochs=50",8,0.7521,0.5242,0.7660,0.4987
"LR=0.0001, Opt=RMSProp, Epochs=50",9,0.7540,0.5236,0.7705,0.4998
"LR=0.0001, Opt=RMSProp, Epochs=50",10,0.7511,0.5188,0.7595,0.5126
"LR=0.0001, Opt=RMSProp, Epochs=50",11,0.7542,0.5213,0.7715,0.4920
"LR=0.0001, Opt=RMSProp, Epochs=50",12,0.7585,0.5147,0.7730,0.4920
"LR=0.0001, Opt=RMSProp, Epochs=50",13,0.7527,0.5137,0.7530,0.5011
"LR=0.0001, Opt=RMSProp, Epochs=50",14,0.7611,0.5064,0.7745,0.4996
"LR=0.0001, Opt=RMSProp, Epochs=50",15,0.7595,0.5067,0.7690,0.4822
"LR=0.0001, Opt=RMSProp, Epochs=50",16,0.7629,0.5029,0.7720,0.4977
"LR=0.0001, Opt=RMSProp, Epochs=50",17,0.7657,0.5001,0.7600,0.4944
"LR=0.0001, Opt=RMSProp, Epochs=50",18,0.7611,0.5017,0.7760,0.4808
"LR=0.0001, Opt=RMSProp, Epochs=50",19,0.7628,0.4982,0.7720,0.4771
"LR=0.0001, Opt=RMSProp, Epochs=50",20,0.7626,0.4965,0.7840,0.4835
"LR=0.0001, Opt=RMSProp, Epochs=50",21,0.7663,0.4960,0.7540,0.4939
"LR=0.0001, Opt=RMSProp, Epochs=50",22,0.7700,0.4907,0.7665,0.4819
"LR=0.0001, Opt=RMSProp, Epochs=50",23,0.7664,0.4907,0.7610,0.5002
"LR=0.0001, Opt=RMSProp, Epochs=50",24,0.7720,0.4887,0.7755,0.4781
"LR=0.0001, Opt=RMSProp, Epochs=50",25,0.7686,0.4859,0.7765,0.4849
"LR=0.0001, Opt=RMSProp, Epochs=50",26,0.7666,0.4849,0.7755,0.4729
"LR=0.0001, Opt=RMSProp, Epochs=50",27,0.7701,0.4817,0.7770,0.4848
"LR=0.0001, Opt=RMSProp, Epochs=50",28,0.7722,0.4816,0.7540,0.5032
"LR=0.0001, Opt=RMSProp, Epochs=50",29,0.7707,0.4821,0.7785,0.4723
"LR=0.0001, Opt=RMSProp, Epochs=50",30,0.7765,0.4793,0.7755,0.4700
"LR=0.0001, Opt=RMSProp, Epochs=50",31,0.7789,0.4763,0.7805,0.4685
"LR=0.0001, Opt=RMSProp, Epochs=50",32,0.7747,0.4743,0.7805,0.4641
"LR=0.0001, Opt=RMSProp, Epochs=50",33,0.7796,0.4731,0.7760,0.4707
"LR=0.0001, Opt=RMSProp, Epochs=50",34,0.7803,0.4721,0.7825,0.4600
"LR=0.0001, Opt=RMSProp, Epochs=50",35,0.7814,0.4670,0.7830,0.4592
"LR=0.0001, Opt=RMSProp, Epochs=50",36,0.7793,0.4676,0.7685,0.4823
"LR=0.0001, Opt=RMSProp, Epochs=50",37,0.7847,0.4673,0.7745,0.4764
"LR=0.0001, Opt=RMSProp, Epochs=50",38,0.7841,0.4627,0.7930,0.4556
"LR=0.0001, Opt=RMSProp, Epochs=50",39,0.7857,0.4629,0.7915,0.4568
"LR=0.0001, Opt=RMSProp, Epochs=50",40,0.7896,0.4574,0.7890,0.4556
"LR=0.0001, Opt=RMSProp, Epochs=50",41,0.7906,0.4588,0.7890,0.4652
"LR=0.0001, Opt=RMSProp, Epochs=50",42,0.7894,0.4577,0.7900,0.4643
"LR=0.0001, Opt=RMSProp, Epochs=50",43,0.7909,0.4522,0.7805,0.4748
"LR=0.0001, Opt=RMSProp, Epochs=50",44,0.7947,0.4510,0.7845,0.4634
"LR=0.0001, Opt=RMSProp, Epochs=50",45,0.7910,0.4505,0.7905,0.4644
"LR=0.0001, Opt=RMSProp, Epochs=50",46,0.7972,0.4482,0.7915,0.4600
"LR=0.0001, Opt=RMSProp, Epochs=50",47,0.7946,0.4484,0.7960,0.4487
"LR=0.0001, Opt=RMSProp, Epochs=50",48,0.7976,0.4451,0.7875,0.4538
"LR=0.0001, Opt=RMSProp, Epochs=50",49,0.7962,0.4457,0.7975,0.4455
"LR=0.0001, Opt=RMSProp, Epochs=50",50,0.7955,0.4396,0.7845,0.4584
